Busstop,Total
하양시외버스터미널 건너,5389
동구시장건너,5378
팔달역1,5378
송현1동치안센터건너,5367
두성파크아파트건너,5358
무태네거리(시외방향),5342
태왕아너스복현앞,5317
상인은행아파트건너,5301
수성도서관앞,5301
성서산업단지역(1번출구),5288
복현대백맨션앞,5283
신천역(5번출구),5279
헬로TV대구방송앞,5276
검단유성아파트(서편),5264
대구교도소앞,5261
안심교(반야월방향),5259
성서서한2차타운1,5252
대산초등학교앞,5243
홈플러스동촌점건너,5238
효동초등학교앞,5236
반야월역(국철)건너,5217
평리2동행정복지센터건너,5205
우방죽전타운건너,5196
대구병원앞,5193
대구가톨릭대학교 건너,5192
수성롯데캐슬건너,5181
팔거역1,5166
신기역(화성타운건너),5163
북구선거관리위원회건너,5157
동도중학교건너,5143
부적주공A,5130
상공회의소건너,5128
압량면사무소,5116
조야동(종점),5101
북대구세무서건너,5100
용산2동행정복지센터건너,5092
이천새마을금고건너,5062
명문세가APT건너,5051
중리광명맨션앞,5047
대구공업대학앞,5046
명성푸르지오건너,5046
엘디스리젠트호텔앞,5046
본동시장건너,5013
민들레아파트후문앞,5005
팔공산IC입구,5001
신천3치안센터앞,4981
대평중학교앞,4970
보람타운앞,4957
대구은행평리동지점앞,4952
대공원역(5번출구),4936
중방네거리(경산방향),4934
서대구시장건너,4912
엑스코앞,4905
수성못코오롱하늘채,4903
두산동행정복지센터앞,4902
감삼초등학교건너,4894
범물하이츠앞,4891
대백한라무지개타운앞,4885
다사농협주유소앞,4883
삼익뉴타운건너,4883
수성교2,4880
봉덕시장앞2,4872
신매초등학교앞,4853
홈플러스칠곡점앞,4852
교통연수원,4847
동부고교앞,4845
비산7동우체국건너,4843
남대구IC2,4837
범물한라주택앞,4833
대구일마이스터고교앞,4829
신천역(4번출구),4803
본리지구앞,4800
한도아파트앞,4786
수성교1,4785
기독교방송국건너,4784
신천3동행정복지센터앞,4767
중방네거리(대구방향),4767
한국건강관리협회앞,4736
범물1동행정복지센터건너,4735
시청별관건너2,4728
역전시장건너,4710
DGB대구은행파크동편건너,4702
팔레스호텔앞1,4672
청구시장앞,4666
반야월모란1차아파트,4663
성서푸른마을아파트건너,4662
무태조야동행정복지센터건너2,4651
평리2동행정복지센터앞,4643
반야월역(국철)앞,4637
중석타운앞,4636
감삼초등학교앞,4635
우진아파트 앞,4620
유가읍사무소앞,4586
북부경찰서건너,4579
우방드림시티앞,4570
파계사(종점),4570
흥사단 대구지부앞,4567
쌍계리,4559
성당코오롱하늘채,4553
청구시장건너,4552
강창역(1번출구),4543
수성시니어클럽앞,4541
지저동행정복지센터앞,4541
대구의료원건너,4537
입석중학교앞,4537
성서주공1단지건너,4520
성지중학교앞,4509
녹원맨션2,4508
산격4동행정복지센터앞,4508
팔달신시장2,4501
하양시외버스터미널,4501
부기리LH아파트 건너,4496
한국농어촌공사앞,4493
상수도사업본부,4478
퀸스로드건너(동편),4475
유천교2,4473
이시아폴리스더샵2단지,4463
신천역(2번출구),4457
실내체육관앞,4456
유니버시아드레포츠센터건너,4454
평광3차아파트,4452
다사읍행정복지센터건너,4432
대곡사계절타운앞,4392
죽전119안전센터앞,4385
효목네거리1,4384
노원네거리2(오봉새마을금고건너),4379
태왕아너스베스트앞,4374
칠성시장역(서문프라자건너),4366
성광고등학교건너,4360
대평주공A,4336
