정류소명,X좌표,Y좌표,경유노선수,경유노선
칡골마을앞,12842.1377,3557.255505,4,"401, 팔공1, 팔공2, 팔공3"
당동마을앞,12842.22932,3557.28842,4,"401, 팔공1, 팔공2, 팔공3"
당동마을건너,12842.23562,3557.30102,4,"401, 팔공1, 팔공2, 팔공3"
칡골마을건너,12842.1242,3557.260624,4,"401, 팔공1, 팔공2, 팔공3"
중리삼거리1,12837.85,3558.659,2,"101, 101-1"
중리삼거리2,12837.835652,3558.650987,2,"101, 101-1"
신생원건너,12843.954407,3551.883921,3,"618, 849, 849-1"
신생원앞,12843.958818,3551.891922,3,"618, 849, 849-1"
신서성당건너,12843.6846,3551.8952,4,"618, 849, 849-1, 동구2"
신서성당앞,12843.656223,3551.882753,4,"618, 849, 849-1, 동구2"
덕산마을앞,12837.324103,3559.104301,2,"101, 101-1"
덕산마을건너,12837.36536,3559.078836,2,"101, 101-1"
상리마을앞,12837.690919,3558.786169,2,"101, 101-1"
상리마을건너,12837.72556,3558.77064,2,"101, 101-1"
안심중학교앞,12842.6533,3551.9651,7,"518, 618, 651, 719, 북구3, 수성3, 수성3-1"
동촌유원지,12839.331256,3552.681846,3,"156, 808, 북구3"
아양아트센터건너,12839.129142,3552.818677,3,"156, 808, 북구3"
신암보성아파트앞,12837.494413,3553.247615,1,413
진인동(진정마을)2,12842.876454,3557.491753,2,"401, 팔공1"
모래정마을앞,12843.5007,3557.5945,2,"401, 팔공1"
모래정마을건너,12843.4969,3557.6034,2,"401, 팔공1"
팔공학생야영장입구앞,12840.1275,3559.3763,1,팔공3
팔공학생야영장입구건너,12840.1419,3559.3875,1,팔공3
부인사건너,12840.4163,3559.5446,1,팔공3
부인사앞,12840.434,3559.5627,1,팔공3
수태골건너,12840.8797,3559.5594,1,팔공3
수태골앞,12840.8844,3559.5646,1,팔공3
전기안전공사앞,12838.0763,3553.03,1,순환3
전기안전공사건너,12838.0961,3553.0351,1,순환3-1
반야월역(도시철도2번출구),12842.8241,3551.8889,3,"719, 849, 980"
율하휴먼시아6단지앞,12841.672974,3551.831467,1,북구3
율하휴먼시아6단지건너,12841.625548,3551.826704,1,북구3
율하휴먼시아8단지앞,12841.9429,3551.8093,1,북구3
율원초등학교앞,12842.0814,3551.9093,3,"북구3, 수성3, 수성3-1"
율원초등학교건너,12842.092171,3551.901835,3,"북구3, 수성3, 수성3-1"
율하휴먼시아9단지앞,12841.941646,3551.796962,1,북구3
율하역(2번출구),12841.5023,3552.1416,2,"수성3, 수성3-1"
신평동2,12840.858548,3646.646834,3,"156, 동구1, 동구1-1"
신평동1,12840.857734,3646.682229,3,"156, 동구1, 동구1-1"
중심마을,12841.0726,3557.5168,1,팔공1
율하근린공원건너,12841.5052,3552.0922,2,"수성3, 수성3-1"
용수동1,12840.5535,3558.528,1,팔공1
신무동2,12840.3951,3559.1497,1,팔공1
송정1동,12837.3022,3559.1869,2,"101, 101-1"
신무동1,12840.388,3559.1486,1,팔공1
용수동2,12840.5495,3558.5323,1,팔공1
해안동행정복지센터,12840.340104,3552.937664,1,동구3
용계동3,12841.271,3552.8297,3,"156, 동구1, 동구1-1"
용계동4,12841.2693,3552.8338,3,"156, 동구1, 동구1-1"
율하휴먼시아5단지건너,12841.437108,3551.838556,3,"북구3, 수성3, 수성3-1"
율하휴먼시아5단지앞,12841.44385,3551.837832,3,"북구3, 수성3, 수성3-1"
봉무불로파출소,12838.4777,3555.6748,6,"101, 101-1, 401, 북구2, 팔공1, 팔공2"
팔공산IC입구,12838.4626,3554.4639,5,"101, 101-1, 401, 팔공1, 팔공2"
대구선방촌공원,12840.1866,3552.8498,1,동구3
부남교앞,12840.58,3558.4221,1,팔공1
